complex_id,appendix_file,level,implementation_path,formal_proof_status,formal_proof_reason,formal_proof_backend,formal_proof_kernel,formal_proof_certificate_path,formal_proof_certificate_sha256,formal_proof_assumptions_sha256
self_negating_oscillation_and_eigenstructure,appendix_canonical_self_negating_involution_flowpoint.tex,A,the_nothingness_effect/canonical_self_negating_involution/the_flowpoint/a_level.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
parity_to_bit_equivalence_and_2_adic_coding,appendix_canonical_self_negating_involution_flowpoint.tex,A,the_nothingness_effect/canonical_self_negating_involution/the_flowpoint/a_level.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
kernel_fiber_integrability,appendix_canonical_self_negating_involution_flowpoint.tex,A,the_nothingness_effect/canonical_self_negating_involution/the_flowpoint/a_level.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
phase_clock,appendix_canonical_self_negating_involution_flowpoint.tex,A,the_nothingness_effect/canonical_self_negating_involution/the_flowpoint/a_level.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
scheduled_spectral_history,appendix_canonical_self_negating_involution_flowpoint.tex,B,the_nothingness_effect/canonical_self_negating_involution/the_flowpoint/b_level.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
phase_indexed_kernel_transport,appendix_canonical_self_negating_involution_flowpoint.tex,B,the_nothingness_effect/canonical_self_negating_involution/the_flowpoint/b_level.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
affine_history_field,appendix_canonical_self_negating_involution_flowpoint.tex,C,the_nothingness_effect/canonical_self_negating_involution/the_flowpoint/c_level.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
flowpoint_unity_orientation_and_integer_unfolding,appendix_tne_mathematical_closure_architecture.tex,A,the_nothingness_effect/mathematical_architecture/a_level.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
operation_covariance_and_spectral_minimization,appendix_tne_mathematical_closure_architecture.tex,A,the_nothingness_effect/mathematical_architecture/a_level.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
finite_approximation_and_vanishing_residual_energy,appendix_tne_mathematical_closure_architecture.tex,A,the_nothingness_effect/mathematical_architecture/a_level.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
complex_phase_coordinates_and_fourier_reconstruction,appendix_tne_mathematical_closure_architecture.tex,A,the_nothingness_effect/mathematical_architecture/a_level.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
addition_of_arithmetic_orientation_and_typed_operation_theory,appendix_tne_mathematical_closure_architecture.tex,B,the_nothingness_effect/mathematical_architecture/b_level.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
addition_of_approximation_and_harmonic_geometry,appendix_tne_mathematical_closure_architecture.tex,B,the_nothingness_effect/mathematical_architecture/b_level.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
addition_of_the_two_complete_b_level_operator_families,appendix_tne_mathematical_closure_architecture.tex,C,the_nothingness_effect/mathematical_architecture/c_level.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
kernel_alternator,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/canonical_self_negating_involution/the_flowpoint/recertified_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
necessity_and_sufficiency_of_2_adic_mirror_history_coding_and_coordinatewise_reflection_closure_nece,appendix_tne_foundational_closure_architecture.tex,A,the_nothingness_effect/canonical_self_negating_involution/the_flowpoint/recertified_contracts.py,not_formally_proved,no proof-assistant kernel evidence or independently checkable certificate,,,,,
