complex_id,source_complex_id,appendix_file,appendix_source_sha256,level,module,complex_title,ai_relevance,ai_targets,reusable_ai_primitive,qenn_use,pgqenn_use,soinets_use,verification_status,integration_status
self_negating_oscillation_and_eigenstructure,self_negating_oscillation_and_eigenstructure,appendix_canonical_self_negating_involution_flowpoint.tex,5c44d82b34cd4c5d05d01253a62987f2f6099d582bf954a4cbdbc13b52b52206,A,flowpoint,Self-Negating Oscillation and Eigenstructure,medium,"QENN,SOInets",involutive/reversible state update and parity clock,reversible/alternating hidden-state gate,dual/sign-equivariant edge and node update,use as a typed theorem-contract diagnostic only,appendix_labels_verified,planned
parity_to_bit_equivalence_and_2_adic_coding,parity_to_bit_equivalence_and_2_adic_coding,appendix_canonical_self_negating_involution_flowpoint.tex,5c44d82b34cd4c5d05d01253a62987f2f6099d582bf954a4cbdbc13b52b52206,A,flowpoint,Parity-to-Bit Equivalence and 2-Adic Coding,medium,"QENN,PGQENN,SOInets",involutive/reversible state update and parity clock,reversible/alternating hidden-state gate,2-adic/parity address and typed arithmetic constraint; dual/sign-equivariant edge and node update,use as a typed theorem-contract diagnostic only,appendix_labels_verified,planned
kernel_fiber_integrability,kernel_fiber_integrability,appendix_canonical_self_negating_involution_flowpoint.tex,5c44d82b34cd4c5d05d01253a62987f2f6099d582bf954a4cbdbc13b52b52206,A,flowpoint,Kernel–Fiber Integrability,medium,"QENN,SOInets",involutive/reversible state update and parity clock; memory kernel and temporal state-space operator,reversible/alternating hidden-state gate,dual/sign-equivariant edge and node update,use as a typed theorem-contract diagnostic only,appendix_labels_verified,planned
phase_clock,phase_clock,appendix_canonical_self_negating_involution_flowpoint.tex,5c44d82b34cd4c5d05d01253a62987f2f6099d582bf954a4cbdbc13b52b52206,A,flowpoint,Phase–Clock,medium,"QENN,SOInets",involutive/reversible state update and parity clock,reversible/alternating hidden-state gate,dual/sign-equivariant edge and node update,use as a typed theorem-contract diagnostic only,appendix_labels_verified,planned
scheduled_spectral_history,scheduled_spectral_history,appendix_canonical_self_negating_involution_flowpoint.tex,5c44d82b34cd4c5d05d01253a62987f2f6099d582bf954a4cbdbc13b52b52206,B,flowpoint,Scheduled Spectral History,high,"QENN,SOInets",involutive/reversible state update and parity clock; spectral positional encoding and sparse-support stability constraint,reversible/alternating hidden-state gate; spectral purification/positional feature layer,prime-motif spectral support regularizer; dual/sign-equivariant edge and node update,inter-network memory and history transport; multi-resolution spectral synchronization,appendix_labels_verified,planned
phase_indexed_kernel_transport,phase_indexed_kernel_transport,appendix_canonical_self_negating_involution_flowpoint.tex,5c44d82b34cd4c5d05d01253a62987f2f6099d582bf954a4cbdbc13b52b52206,B,flowpoint,Phase-Indexed Kernel Transport,high,"QENN,SOInets",involutive/reversible state update and parity clock; memory kernel and temporal state-space operator; wave/PDE message-passing and transport operator,reversible/alternating hidden-state gate,dual/sign-equivariant edge and node update,use as a typed theorem-contract diagnostic only,appendix_labels_verified,planned
affine_history_field,affine_history_field,appendix_canonical_self_negating_involution_flowpoint.tex,5c44d82b34cd4c5d05d01253a62987f2f6099d582bf954a4cbdbc13b52b52206,C,flowpoint,Affine History Field,high,"QENN,SOInets",involutive/reversible state update and parity clock; locality-aware graph/spatial operator and boundary gate,reversible/alternating hidden-state gate,dual/sign-equivariant edge and node update,network-of-networks spatial coupling and locality constraint; inter-network memory and history transport,appendix_labels_verified,planned
flowpoint_unity_orientation_and_integer_unfolding,flowpoint_unity_orientation_and_integer_unfolding,appendix_tne_mathematical_closure_architecture.tex,3cd520d5b025f6f241c7eb09417528276f0c6904e07aa088057c7b57803bf011,A,mathematical_closure,Flowpoint–Unity Orientation and Integer Unfolding,high,"QENN,PGQENN,SOInets","involutive/reversible state update and parity clock; non-cancelling residual, self-audit certificate, and fail-closed training objective; typed neural arithmetic/graph-growth primitive",reversible/alternating hidden-state gate; non-cancelling closure residual in the training objective,2-adic/parity address and typed arithmetic constraint; dual/sign-equivariant edge and node update; growth-step closure certificate and source-removal ablation,meta-closure auditor across subnets/modalities,appendix_labels_verified,planned
operation_covariance_and_spectral_minimization,operation_covariance_and_spectral_minimization,appendix_tne_mathematical_closure_architecture.tex,3cd520d5b025f6f241c7eb09417528276f0c6904e07aa088057c7b57803bf011,A,mathematical_closure,Operation Covariance and Spectral Minimization,medium,"QENN,SOInets","non-cancelling residual, self-audit certificate, and fail-closed training objective; spectral positional encoding and sparse-support stability constraint; typed neural arithmetic/graph-growth primitive",spectral purification/positional feature layer; non-cancelling closure residual in the training objective,prime-motif spectral support regularizer; growth-step closure certificate and source-removal ablation,meta-closure auditor across subnets/modalities; multi-resolution spectral synchronization,appendix_labels_verified,planned
finite_approximation_and_vanishing_residual_energy,finite_approximation_and_vanishing_residual_energy,appendix_tne_mathematical_closure_architecture.tex,3cd520d5b025f6f241c7eb09417528276f0c6904e07aa088057c7b57803bf011,A,mathematical_closure,Finite Approximation and Vanishing Residual Energy,high,"QENN,SOInets","involutive/reversible state update and parity clock; dual-channel encoding and sign-equivariant weight tying; non-cancelling residual, self-audit certificate, and fail-closed training objective; spectral positional encoding and sparse-support stability constraint",reversible/alternating hidden-state gate; spectral purification/positional feature layer; non-cancelling closure residual in the training objective,prime-motif spectral support regularizer; dual/sign-equivariant edge and node update; growth-step closure certificate and source-removal ablation,meta-closure auditor across subnets/modalities; multi-resolution spectral synchronization,appendix_labels_verified,planned
complex_phase_coordinates_and_fourier_reconstruction,complex_phase_coordinates_and_fourier_reconstruction,appendix_tne_mathematical_closure_architecture.tex,3cd520d5b025f6f241c7eb09417528276f0c6904e07aa088057c7b57803bf011,A,mathematical_closure,Complex Phase Coordinates and Fourier Reconstruction,medium,"QENN,SOInets","involutive/reversible state update and parity clock; non-cancelling residual, self-audit certificate, and fail-closed training objective; spectral positional encoding and sparse-support stability constraint",reversible/alternating hidden-state gate; spectral purification/positional feature layer; non-cancelling closure residual in the training objective,prime-motif spectral support regularizer; growth-step closure certificate and source-removal ablation,meta-closure auditor across subnets/modalities; multi-resolution spectral synchronization,appendix_labels_verified,planned
addition_of_arithmetic_orientation_and_typed_operation_theory,addition_of_arithmetic_orientation_and_typed_operation_theory,appendix_tne_mathematical_closure_architecture.tex,3cd520d5b025f6f241c7eb09417528276f0c6904e07aa088057c7b57803bf011,B,mathematical_closure,Addition of Arithmetic Orientation and Typed Operation Theory,high,"QENN,PGQENN,SOInets","non-cancelling residual, self-audit certificate, and fail-closed training objective; typed neural arithmetic/graph-growth primitive",non-cancelling closure residual in the training objective,2-adic/parity address and typed arithmetic constraint; growth-step closure certificate and source-removal ablation,meta-closure auditor across subnets/modalities,appendix_labels_verified,planned
addition_of_approximation_and_harmonic_geometry,addition_of_approximation_and_harmonic_geometry,appendix_tne_mathematical_closure_architecture.tex,3cd520d5b025f6f241c7eb09417528276f0c6904e07aa088057c7b57803bf011,B,mathematical_closure,Addition of Approximation and Harmonic Geometry,high,"QENN,SOInets","involutive/reversible state update and parity clock; locality-aware graph/spatial operator and boundary gate; non-cancelling residual, self-audit certificate, and fail-closed training objective; spectral positional encoding and sparse-support stability constraint",reversible/alternating hidden-state gate; spectral purification/positional feature layer; non-cancelling closure residual in the training objective,prime-shell graph locality and message-passing mask; growth-step closure certificate and source-removal ablation,network-of-networks spatial coupling and locality constraint; meta-closure auditor across subnets/modalities; multi-resolution spectral synchronization,appendix_labels_verified,planned
addition_of_the_two_complete_b_level_operator_families,addition_of_the_two_complete_b_level_operator_families,appendix_tne_mathematical_closure_architecture.tex,3cd520d5b025f6f241c7eb09417528276f0c6904e07aa088057c7b57803bf011,C,mathematical_closure,Addition of the Two Complete B-Level Operator Families,high,"QENN,SOInets","involutive/reversible state update and parity clock; dual-channel encoding and sign-equivariant weight tying; locality-aware graph/spatial operator and boundary gate; non-cancelling residual, self-audit certificate, and fail-closed training objective; spectral positional encoding and sparse-support stability constraint",reversible/alternating hidden-state gate; spectral purification/positional feature layer; non-cancelling closure residual in the training objective,growth-step closure certificate and source-removal ablation,network-of-networks spatial coupling and locality constraint; meta-closure auditor across subnets/modalities; multi-resolution spectral synchronization,appendix_labels_verified,planned
kernel_alternator,kernel_alternator,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,A,flowpoint_closure_interface,Kernel–Alternator,medium,"QENN,SOInets","involutive/reversible state update and parity clock; non-cancelling residual, self-audit certificate, and fail-closed training objective; memory kernel and temporal state-space operator",reversible/alternating hidden-state gate; non-cancelling closure residual in the training objective,dual/sign-equivariant edge and node update; growth-step closure certificate and source-removal ablation,meta-closure auditor across subnets/modalities,appendix_labels_verified,planned
necessity_and_sufficiency_of_2_adic_mirror_history_coding_and_coordinatewise_reflection_closure_nece,necessity_and_sufficiency_of_2_adic_mirror_history_coding_and_coordinatewise_reflection_closure_nece,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,A,flowpoint_closure_interface,Necessity and Sufficiency of 2-Adic Mirror-History Coding and Coordinatewise Reflection Closure {Necessity and Sufficiency of 2-Adic Mirror-History Coding and Coordinatewise Reflection Closure},high,"QENN,PGQENN,SOInets","involutive/reversible state update and parity clock; non-cancelling residual, self-audit certificate, and fail-closed training objective",reversible/alternating hidden-state gate; non-cancelling closure residual in the training objective,2-adic/parity address and typed arithmetic constraint; dual/sign-equivariant edge and node update; growth-step closure certificate and source-removal ablation,inter-network memory and history transport; meta-closure auditor across subnets/modalities,appendix_labels_verified,planned
reciprocal_relation_action_groupoid,reciprocal_relation_action_groupoid,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,A,duality,Reciprocal Relation–Action Groupoid,medium,"QENN,PGQENN,SOInets",dual-channel encoding and sign-equivariant weight tying; equivariant layer and symmetry regularizer,use as a typed theorem-contract diagnostic only,dual/sign-equivariant edge and node update,use as a typed theorem-contract diagnostic only,appendix_labels_verified,planned
minimal_two_state_involution_orbitwise_alternator,minimal_two_state_involution_orbitwise_alternator,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,A,duality,Minimal Two-State Involution–Orbitwise Alternator,medium,"QENN,PGQENN,SOInets",involutive/reversible state update and parity clock; dual-channel encoding and sign-equivariant weight tying,reversible/alternating hidden-state gate,dual/sign-equivariant edge and node update,use as a typed theorem-contract diagnostic only,appendix_labels_verified,planned
involutive_duality_c_2_action,involutive_duality_c_2_action,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,A,duality,Involutive Duality–C_2-Action,medium,"QENN,PGQENN,SOInets",dual-channel encoding and sign-equivariant weight tying,use as a typed theorem-contract diagnostic only,dual/sign-equivariant edge and node update,use as a typed theorem-contract diagnostic only,appendix_labels_verified,planned
reciprocal_orbit_double_cover,reciprocal_orbit_double_cover,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,B,duality,Reciprocal Orbit Double Cover,high,"QENN,PGQENN,SOInets",dual-channel encoding and sign-equivariant weight tying,use as a typed theorem-contract diagnostic only,dual/sign-equivariant edge and node update,use as a typed theorem-contract diagnostic only,appendix_labels_verified,planned
two_state_free_cofree_duality,two_state_free_cofree_duality,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,B,duality,Two-State Free–Cofree Duality,high,"QENN,PGQENN,SOInets",dual-channel encoding and sign-equivariant weight tying,use as a typed theorem-contract diagnostic only,dual/sign-equivariant edge and node update,use as a typed theorem-contract diagnostic only,appendix_labels_verified,planned
invariant_anti_invariant_orbit_fields,invariant_anti_invariant_orbit_fields,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,C,duality,Invariant–Anti-Invariant Orbit Fields,high,SOInets,dual-channel encoding and sign-equivariant weight tying; locality-aware graph/spatial operator and boundary gate,use as a typed theorem-contract diagnostic only,dual/sign-equivariant edge and node update,network-of-networks spatial coupling and locality constraint,appendix_labels_verified,planned
kernel_recursion,kernel_recursion,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,A,flowpoint_duality,Kernel–Recursion,medium,"QENN,SOInets",involutive/reversible state update and parity clock; dual-channel encoding and sign-equivariant weight tying; memory kernel and temporal state-space operator,reversible/alternating hidden-state gate,dual/sign-equivariant edge and node update,use as a typed theorem-contract diagnostic only,appendix_labels_verified,planned
schedule_controlled_parity_coding_and_uniform_minimal_involution,schedule_controlled_parity_coding_and_uniform_minimal_involution,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,A,symmetry,Schedule-Controlled Parity Coding and Uniform Minimal Involution,medium,PGQENN,involutive/reversible state update and parity clock; equivariant layer and symmetry regularizer,reversible/alternating hidden-state gate,2-adic/parity address and typed arithmetic constraint; dual/sign-equivariant edge and node update,use as a typed theorem-contract diagnostic only,appendix_labels_verified,planned
bidirectional_orbit_invariance_and_minimal_involution_generated_c_2_action,bidirectional_orbit_invariance_and_minimal_involution_generated_c_2_action,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,A,symmetry,Bidirectional Orbit Invariance and Minimal Involution-Generated C_2-Action,medium,"QENN,PGQENN,SOInets",involutive/reversible state update and parity clock; equivariant layer and symmetry regularizer,reversible/alternating hidden-state gate,dual/sign-equivariant edge and node update,use as a typed theorem-contract diagnostic only,appendix_labels_verified,planned
schedule_controlled_orbit_transport,schedule_controlled_orbit_transport,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,B,symmetry,Schedule-Controlled Orbit Transport,high,"QENN,PGQENN,SOInets",equivariant layer and symmetry regularizer; wave/PDE message-passing and transport operator,use as a typed theorem-contract diagnostic only,dual/sign-equivariant edge and node update,use as a typed theorem-contract diagnostic only,appendix_labels_verified,planned
involutive_generator_word_closure_and_conjugacy,involutive_generator_word_closure_and_conjugacy,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,B,symmetry,Involutive Generator Word Closure and Conjugacy,high,"QENN,SOInets","equivariant layer and symmetry regularizer; non-cancelling residual, self-audit certificate, and fail-closed training objective",non-cancelling closure residual in the training objective,dual/sign-equivariant edge and node update; growth-step closure certificate and source-removal ablation,meta-closure auditor across subnets/modalities,appendix_labels_verified,planned
schedule_driven_generator_word_field,schedule_driven_generator_word_field,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,C,symmetry,Schedule-Driven Generator Word Field,high,SOInets,equivariant layer and symmetry regularizer; locality-aware graph/spatial operator and boundary gate,use as a typed theorem-contract diagnostic only,dual/sign-equivariant edge and node update,network-of-networks spatial coupling and locality constraint,appendix_labels_verified,planned
order_two_symmetry_recursion,order_two_symmetry_recursion,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,A,flowpoint_symmetry,Order-Two Symmetry–Recursion,medium,"QENN,SOInets",involutive/reversible state update and parity clock; equivariant layer and symmetry regularizer,reversible/alternating hidden-state gate,dual/sign-equivariant edge and node update,use as a typed theorem-contract diagnostic only,appendix_labels_verified,planned
phase_gated_compensation_transport,phase_gated_compensation_transport,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,B,flowpoint_symmetry,Phase-Gated Compensation Transport,high,"QENN,SOInets",involutive/reversible state update and parity clock; equivariant layer and symmetry regularizer; wave/PDE message-passing and transport operator,reversible/alternating hidden-state gate,dual/sign-equivariant edge and node update,use as a typed theorem-contract diagnostic only,appendix_labels_verified,planned
