theorem_complex_id,level,closure_status,residual_norm,exact_semantics
lyapunov_weight_lattice_fourier_pisot_spectral_purification,A,satisfied,0.0,True
dfi_entropy_plateau_dfi_divergence_spiking,A,satisfied,0.0,True
pv_inflation_pure_point_diffraction_non_pv_salem_leakage,A,satisfied,0.0,True
parseval_energy_bijection_for_epochs_energy_mass_imbalance,A,satisfied,0.0,True
autocorrelation_completeness_of_weight_trajectories_continuous_mixing_component,A,satisfied,0.0,True
flowpoint_flip_parity_constraint_parity_broken_bias_spurious_lines,A,satisfied,0.0,True
qenn::dual_support_equivalence_support_mismatch_leakage,A,satisfied,0.0,True
bounded_remainder_drift_in_updates_long_memory_heavy_tail_drift,A,satisfied,0.0,True
inflation_collapse_support_invariance_nonlinear_sideband_mixing,A,satisfied,0.0,True
epoch_operator_closure_backprop_optimiser_induced_resonance,A,satisfied,0.0,True
entropy_balanced_landscape_no_sharp_minima_sharp_minima_trap,A,satisfied,0.0,True
hyper_parameter_stability_wedge_instability_lobe,A,satisfied,0.0,True
lyapunov_entropy_dissipation_functional,B,satisfied,0.0,True
pv_parseval_spectral_energy_lock,B,satisfied,0.0,True
parity_resolved_autocorrelation_operator,B,satisfied,0.0,True
support_transport_drift_certificate,B,satisfied,0.0,True
epoch_support_commutator_closure,B,satisfied,0.0,True
entropic_hyperparameter_stability_margin,B,satisfied,0.0,True
lyapunov_parseval_training_isometry_closure,C,closed,0.0,True
parity_support_memory_field_closure,C,closed,0.0,True
optimizer_stability_wedge_spatial_closure,C,closed,0.0,True
